file_id,path,offset,end,size,sha256,extension,format,signature_hex
75,__unmapped__/file_00075,3456512,3460800,4288,44217d505f9051e7fda7e2e822a564de0272d32a5236efe20b6cfe93d4d27ada,,,38b5051c34f6dcfd0222032029211204
76,__unmapped__/file_00076,3461120,3477056,15936,8376ab416f7d8b350506d10a134fcaa69b612e22afa8d417c00050f419aa463a,,,08b504480221caf5adfa03480221caf5
77,__unmapped__/file_00077,3477504,3505088,27584,e722e4ac41e4d068d9ad120a9519b80b0b75a9a612ce8ebae7b35f04e6374495,,Nintendo LZ10,10b5041c0020011c3df60efc01200021
78,__unmapped__/file_00078,3505152,3512448,7296,10ad040e066aeed9f9673fb87507ed91280cb96b27392f53645169a4638fc9c6,,,38b584b00122041c03202f21920446f6
79,__unmapped__/file_00079,3512832,3525152,12320,c7949efe35e1d698b03f7c7497cfcad134132ff089e6046ee398642399001d3c,,,38b5041c34f6e6fd0222051c03202d21
80,__unmapped__/file_00080,3525632,3535520,9888,80e0d63307ed192dede49be31d02c122e884af315fdbd1eccc46b3824a4cb3b2,,,38b5041c34f6e6fd0222051c03201121
81,__unmapped__/file_00081,3535872,3546048,10176,be5406dab22fdc375837d216e89a2668440b48dea3c91e8313f8ba8c52126ac2,,,38b5041c0020011c45f636fe45f63afe
82,__unmapped__/file_00082,3546112,3547232,1120,e9adab3f7ab8e52c874c6afea10eea2e085f58cd439587842a790d49b66f2547,,Nintendo LZ10,10b5041c206800280ad0caf505fc0028
83,__unmapped__/file_00083,3547648,3568224,20576,0ea611b3c2e16ade4d0262e5fe81298dd5ec9edbb127747a835c2b470e8cbb21,,,08b5806901f02afbe1f5cafc08bd0000
84,__unmapped__/file_00084,3568640,3592864,24224,92793aee315ea5c60a8ab370be54cb66d931d95af6ba8f8da4048ba21ca43fe9,,Nintendo RLE,30b583b0051c0020011cdbf525fadbf5
85,__unmapped__/file_00085,3593216,3598880,5664,1c328b357e0770c159b8ef01eb7b6c0aef220dd8b93781f7e0abd63f1f029ae4,,,38b5041c0020011cd5f5d6fad5f5dafa
86,__unmapped__/file_00086,3599360,3608608,9248,75637657a9e96acf070ace3bfbb1bd3c146c46e6b1468969568233df1da77949,,,f8b5051c0020011cdbf556fc03203f21
87,__unmapped__/file_00087,3609088,3612736,3648,5539a11ef8fd4a6ed5aa69278af2cefe428bfb342b990d28abb3026f74008cb6,,,38b50122051c03203c21920346f64cfa
88,__unmapped__/file_00088,3613184,3629760,16576,0b0b369091192516ca043457ea97a40aebd233efee924bfaffe30d6201dd6495,,,78b583b0061c0020011cdbf555fcdbf5
89,__unmapped__/file_00089,3630080,3630112,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
90,__unmapped__/file_00090,3630592,3635264,4672,69902dffa4fa7c933560525d26d792aa2d218c87edc81e79e3dc05b887bd1b40,,,38b5041c34f6e6fd0122051c03204a21
91,__unmapped__/file_00091,3635712,3643424,7712,09ec52530f13649dc4cbab2c25cb369114b4e4bf41ff2e9f4669d8909855102d,,,38b50222051c03204321120446f64cfa
92,__unmapped__/file_00092,3643904,3651360,7456,80e7482d3d8bce974bd66082be44903b4b9ae343691611e2fc4b8132ac8298a9,,,38b5041c0020011c45f636fe0020011c
93,__unmapped__/file_00093,3651584,3653760,2176,8154e5d89917a33cf19c51665b0da4502c8c6dc979141c418aa05da0164a7bcf,,,f8b586b00222051c03204821120446f6
